Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Price Change,Volume Category,Weekday
2022-04-29 00:00:00-04:00,160.42668168455637,164.7486073264787,155.87676881941587,156.2732696533203,131747600,0.0,0.0,Down,Medium,4
2022-05-02 00:00:00-04:00,155.34149760095795,156.8482129324933,151.93153583652065,156.58058166503906,123055300,0.0,0.0,Stable,Medium,0
2022-05-03 00:00:00-04:00,156.76892341672843,159.30658050685022,154.95491749909982,158.08731079101562,88966500,0.0,0.0,Stable,Medium,1
2022-05-04 00:00:00-04:00,158.27565211851262,165.02618018810924,157.86922888474598,164.57020568847656,108256500,0.0,0.0,Up,Medium,2
2022-05-05 00:00:00-04:00,162.4191443788186,162.64713161034837,153.59685681021196,155.40097045898438,130525300,0.0,0.0,Down,Medium,3
2022-05-06 00:00:00-04:00,154.8748262004885,158.2798765269892,153.05813992710523,156.13558959960938,116124600,0.23,0.0,Stable,Medium,4
2022-05-09 00:00:00-04:00,153.80264866053622,154.696108922872,150.3876924541417,150.9535369873047,131577900,0.0,0.0,Down,Medium,0
2022-05-10 00:00:00-04:00,154.38838751775543,155.59951159221254,151.81722173149993,153.38572692871094,115366700,0.0,0.0,Up,Medium,1
2022-05-11 00:00:00-04:00,152.38308684573647,154.31889501715608,144.74903922441572,145.43402099609375,142689800,0.0,0.0,Down,High,2
2022-05-12 00:00:00-04:00,141.7311531823983,145.13618787314408,137.79003926275462,141.52267456054688,182602000,0.0,0.0,Down,High,3
2022-05-13 00:00:00-04:00,143.53791338166033,147.02238319608435,142.06868657534454,146.03958129882812,113990900,0.0,0.0,Up,Medium,4
2022-05-16 00:00:00-04:00,144.49093973933415,146.44660666959047,143.13089794938585,144.4810028076172,86643800,0.0,0.0,Down,Medium,0
2022-05-17 00:00:00-04:00,147.77684341697514,148.6802255756009,145.61269797915526,148.15408325195312,78336300,0.0,0.0,Up,Low,1
2022-05-18 00:00:00-04:00,145.7814714098873,146.28775500898428,138.88203004967724,139.79534912109375,109742900,0.0,0.0,Down,Medium,2
2022-05-19 00:00:00-04:00,138.86220639216,140.62925349853944,135.60607362437568,136.35061645507812,136095600,0.0,0.0,Down,High,3
2022-05-20 00:00:00-04:00,138.07793749703902,139.67622327962164,131.645092083235,136.58885192871094,137426100,0.0,0.0,Stable,High,4
2022-05-23 00:00:00-04:00,136.7873974994793,142.21759757028707,136.64841678175944,142.06869506835938,117726300,0.0,0.0,Up,Medium,0
2022-05-24 00:00:00-04:00,139.78542197691854,140.93698510605824,136.33074773726096,139.3386993408203,104132700,0.0,0.0,Down,Medium,1
2022-05-25 00:00:00-04:00,137.42273921872214,140.75829157067912,137.33339771813021,139.49754333496094,92482700,0.0,0.0,Stable,Medium,2
2022-05-26 00:00:00-04:00,136.390306674351,143.28973326557036,136.1421257527405,142.7338104248047,90601500,0.0,0.0,Up,Medium,3
2022-05-27 00:00:00-04:00,144.33210213660297,148.5908802626007,144.20304320474298,148.55117797851562,90978500,0.0,0.0,Up,Medium,4
2022-05-31 00:00:00-04:00,147.98532587760639,149.56375288938744,145.77154117036707,147.75698852539062,103718400,0.0,0.0,Stable,Medium,1
2022-06-01 00:00:00-04:00,148.80928878088795,150.6359120510635,146.6054407742385,147.62796020507812,74286600,0.0,0.0,Stable,Low,2
2022-06-02 00:00:00-04:00,146.7543306182326,150.1693022028951,145.79138752089136,150.1097412109375,72348100,0.0,0.0,Up,Low,3
2022-06-03 00:00:00-04:00,145.83110316602864,146.8933247791657,143.4088701004318,144.32217407226562,88570300,0.0,0.0,Down,Medium,4
2022-06-06 00:00:00-04:00,145.96016840882157,147.48897143156546,143.8456620224507,145.07664489746094,71598400,0.0,0.0,Stable,Low,0
2022-06-07 00:00:00-04:00,143.29968391202706,147.91584343668424,143.0515029666635,147.62796020507812,67808200,0.0,0.0,Up,Low,1
2022-06-08 00:00:00-04:00,147.49887612629806,148.77948292109008,146.38703052785783,146.88339233398438,53950200,0.0,0.0,Stable,Low,2
2022-06-09 00:00:00-04:00,146.00980758802268,146.8734723832474,141.49291160052343,141.60211181640625,69473000,0.0,0.0,Down,Low,3
